path,name,kind,bytes,lines,sha256
docs/FINAL/fusion_inbox_R6/MANIFEST/MANIFEST_MVP_QAIC_DOCS_0.2.0.md,MANIFEST_MVP_QAIC_DOCS_0.2.0.md,file,1107,43,972ae3481a865f25fa82e0b6761d3e1bfc65fd2cf5bb9ad9b434440bf4e5c5c0
docs/FINAL/fusion_inbox_R6/MANIFEST/MANIFEST_MVP_QAIC_DOCS_0.2.1.md,MANIFEST_MVP_QAIC_DOCS_0.2.1.md,file,1692,70,c10b4b3a2e5b54e5f1f2200389720e85cdf6652e972eaa50ec7a8b4b99487947
docs/FINAL/fusion_inbox_R6/MANIFEST/MANIFEST_MVP_QAIC_INSTRUCTIONS_0.5.0_UI_FULL_FUSION.md,MANIFEST_MVP_QAIC_INSTRUCTIONS_0.5.0_UI_FULL_FUSION.md,file,1587,45,d3d67f0cbd7dbdf964174320f8c694f64f22ec74e1367e835670ab478e0bec42
docs/FINAL/fusion_inbox_R6/MANIFEST/manifest_MVPQAIC_REFERENCE_DOCS_0.6.2_REAL_FUSION_REPAIR.json,manifest_MVPQAIC_REFERENCE_DOCS_0.6.2_REAL_FUSION_REPAIR.json,file,2485,82,59b45641f8d58b08536e6709918c2f83132e67297032ab18be66377e5cb4f82c
docs/FINAL/fusion_inbox_R6/NOTICE_UTILISATION,NOTICE_UTILISATION,dir,,,
docs/FINAL/fusion_inbox_R6/NOTICE_UTILISATION/NOTICE_UTILISATION_MVP_QAIC_P2F_GPT_RESPONSE_INTAKE_0.8.0.md,NOTICE_UTILISATION_MVP_QAIC_P2F_GPT_RESPONSE_INTAKE_0.8.0.md,file,3070,154,9f107c8838f0a715948350451173b68c4d09d56ac161dbbbba187a2c4175abd4
docs/FINAL/fusion_inbox_R6/PLANNING,PLANNING,dir,,,
docs/FINAL/fusion_inbox_R6/PLANNING/🗓️ PLANNING_MVP_QAIC_WEB_APP_TRANSITION_QAIC_0.6.2_REAL_FUSION_REPAIR.md,🗓️ PLANNING_MVP_QAIC_WEB_APP_TRANSITION_QAIC_0.6.2_REAL_FUSION_REPAIR.md,file,27936,1004,bf0ae711f2f2baa03190ee8431b75d6b0fb9a41ea7304b5c6b937a3bc4424c3c
docs/FINAL/fusion_inbox_R6/PLANNING/🗓️ PLANNING_MVP_QAIC_WEB_APP_TRANSITION_QAIC_0.7.2_REAL_FULL_SOURCE_FUSION.md,🗓️ PLANNING_MVP_QAIC_WEB_APP_TRANSITION_QAIC_0.7.2_REAL_FULL_SOURCE_FUSION.md,file,31491,1113,62b9f0c8c1a6d759ddd805e73f4915da7006218bc6197a0c71f85dc550e96e4a
docs/FINAL/fusion_inbox_R6/PROMPTS,PROMPTS,dir,,,
docs/FINAL/fusion_inbox_R6/PROMPTS/README_PROMPTS_PLACEHOLDER.md,README_PROMPTS_PLACEHOLDER.md,file,83,4,e47ab3f2acd07c899751e0897668ea6947d59789ca0fb523bd4bf843a2ce5e7b
docs/FINAL/fusion_inbox_R6/PROMPTS/✅ ANTIGRAVITY_P0A_ACCEPTANCE_CRITERIA_0.2.2.md,✅ ANTIGRAVITY_P0A_ACCEPTANCE_CRITERIA_0.2.2.md,file,910,31,01cfc601dce716dbddb4959d8d97e02cd72c5d0f9e601933194793fb7332e665
docs/FINAL/fusion_inbox_R6/PROMPTS/📝 DECISION_JOURNAL_ENTRY_PROMPT_MVP_QAIC_0.4.0.md,📝 DECISION_JOURNAL_ENTRY_PROMPT_MVP_QAIC_0.4.0.md,file,987,47,aaae46c04f5ee3516a79e407406332bfcce24d795733134a25cd16a5b2999fcc
docs/FINAL/fusion_inbox_R6/PROMPTS/🤖 ANTIGRAVITY_P0A_KNOWLEDGE_BASE_PROMPT_0.2.2.md,🤖 ANTIGRAVITY_P0A_KNOWLEDGE_BASE_PROMPT_0.2.2.md,file,2776,82,fa390b1ee3a4e5adf08ce4536ddbbc6fb5fe57f96c46ccb721bc0debb3a070fe
docs/FINAL/fusion_inbox_R6/PROMPTS/🧠 FIRST_REAL_GPT_RESPONSE_AUDIT_PROMPT_MVP_QAIC_0.4.1.md,🧠 FIRST_REAL_GPT_RESPONSE_AUDIT_PROMPT_MVP_QAIC_0.4.1.md,file,1846,64,2fa042bc1db260b5f9b4b76bd4b4cf9ca290a1d04cd8819c8956d801a73e59aa
docs/FINAL/fusion_inbox_R6/PROMPTS/🧠 GPT_RESPONSE_AUDIT_PROMPT_MVP_QAIC_0.4.0.md,🧠 GPT_RESPONSE_AUDIT_PROMPT_MVP_QAIC_0.4.0.md,file,1472,48,99ac3cde49f0f3b931592b3d3c6d8fe6023f688dbfcbf7bd1f9dd4232b3736b1
docs/FINAL/fusion_inbox_R6/PROMPTS/🧱 ANTIGRAVITY_P0A_WORKSPACE_TREE_0.2.2.md,🧱 ANTIGRAVITY_P0A_WORKSPACE_TREE_0.2.2.md,file,772,25,d82fb9ff4a340d059ecd0bdcd22564a7a79ac0578f80c37091a27019af4c21f8
docs/FINAL/fusion_inbox_R6/README,README,dir,,,
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_DOCS_0.2.0.md,README_MVP_QAIC_DOCS_0.2.0.md,file,1032,38,73f0987ce33cbbcc5a97f06fd6046637c4c9db4432585d9c097a9fcf0daf9116
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_DOCS_0.2.1.md,README_MVP_QAIC_DOCS_0.2.1.md,file,1020,25,5224810166f79839a59324054ae555d510a49eb8bcc6a4690b8e0f4f820412bb
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_INSTRUCTIONS_0.5.0.md,README_MVP_QAIC_INSTRUCTIONS_0.5.0.md,file,664,32,ef72fa159255bb3d3aeb7a08324febc65d26f5f3b828552cf2de4e7598dcfe4d
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P2C_FRONTEND_RENAME_SAFE_FALLBACKS_0.8.0.md,README_MVP_QAIC_P2C_FRONTEND_RENAME_SAFE_FALLBACKS_0.8.0.md,file,1147,38,7d628eb40bcaf834001cb2f3d20848ea10145791eb28961ee1c42e85914861eb
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P2I_PROMPT_WORKFLOW_UX_DRAFT_APPROVAL_0.9.5.md,README_MVP_QAIC_P2I_PROMPT_WORKFLOW_UX_DRAFT_APPROVAL_0.9.5.md,file,2122,67,72585e8bb72ac8788d4daec11e378cc83967541825721c006511b88d0e810348
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P2J_FORCED_ROW_HEIGHTS_HOTFIX_1.0.0_SAFE.md,README_MVP_QAIC_P2J_FORCED_ROW_HEIGHTS_HOTFIX_1.0.0_SAFE.md,file,865,33,fe755c46c1e586ebc96508f2c15f51c4abf916c083f5ec86f95b69fa1243ae37
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P2L_JOURNAL_UI_AND_INSTRUCTIONS_1.0.2_SAFE.md,README_MVP_QAIC_P2L_JOURNAL_UI_AND_INSTRUCTIONS_1.0.2_SAFE.md,file,744,23,647736595ae6a2246e41c55ea270762a0bbf159a860490f0d2bb351b8a6a3f7c
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P3A1_STRICT_BASELINE_FUSION_1.4.1_SAFE.md,README_MVP_QAIC_P3A1_STRICT_BASELINE_FUSION_1.4.1_SAFE.md,file,1613,52,6f7bcc5fb411dca48dc73d5df66300da1763a319cbbe2c21e16e0e7842007bf0
docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P3E_RISK_PLAYBOOK_POSITION_ACTION_SIMPLE_APPLY_1.4.5_SAFE.md,README_MVP_QAIC_P3E_RISK_PLAYBOOK_POSITION_ACTION_SIMPLE_APPLY_1.4.5_SAFE.md,file,1537,50,164dfe3e612f7f0b070fda3a2009dcc1f5be3e83bb92697121fa4ae4b75dacd9
docs/FINAL/fusion_inbox_R6/README/README_P2C_FRONTEND_RENAME_CORRECTED.md,README_P2C_FRONTEND_RENAME_CORRECTED.md,file,994,21,f3f2a47e0a50826fa0bb85c2a9e337c6cff710b704f4f968ee53d469793ad21b
docs/FINAL/fusion_inbox_R6/README/README_VALIDATION_PACK_MVP_QAIC_0.6.2_REAL_FUSION_REPAIR.md,README_VALIDATION_PACK_MVP_QAIC_0.6.2_REAL_FUSION_REPAIR.md,file,1293,34,1965d2f06d0768ec3679342b010b58dc9a7a5431a0b8eb3291693a3bb697e467
docs/FINAL/fusion_inbox_R6/README/🧠 SYNTHESE_MVP_QAIC_PROJECT_CONTEXT_0.6.2_REAL_FUSION_REPAIR.md,🧠 SYNTHESE_MVP_QAIC_PROJECT_CONTEXT_0.6.2_REAL_FUSION_REPAIR.md,file,1079,23,1fd6fe5729c49333cb081f4aacde63581d151954e97e4707a46454e94dcb7863
docs/FINAL/fusion_inbox_R6/RUNBOOK,RUNBOOK,dir,,,
docs/FINAL/fusion_inbox_R6/RUNBOOK/CHAT_DEV_RULES_073,CHAT_DEV_RULES_073,dir,,,
docs/FINAL/fusion_inbox_R6/RUNBOOK/CHAT_DEV_RULES_073/RUNBOOK_CHAT_DEV_DELIVERY_RULES_0.7.3.md,RUNBOOK_CHAT_DEV_DELIVERY_RULES_0.7.3.md,file,1245,64,44b2d9fdec4ea81848e07421d45d03d7e5b4e98182c00755468e712e9a7e30f2
docs/FINAL/fusion_inbox_R6/RUNBOOK/COMPARATIF_MVP_QAIC_CLASP_VS_QAIC_V25_0.1.1.md,COMPARATIF_MVP_QAIC_CLASP_VS_QAIC_V25_0.1.1.md,file,1529,30,ed1160260f7c45659b7a05b63af6c44231b52972c139f4ef246cdebf9c1bb00c
docs/FINAL/fusion_inbox_R6/RUNBOOK/README_MVP_QAIC_P2B_GEM_ADAPTIVE_PROMPT_LOOP_0.7.0.md,README_MVP_QAIC_P2B_GEM_ADAPTIVE_PROMPT_LOOP_0.7.0.md,file,1527,55,dc5a72d3ad26067868685d9358d554ea4817e5e5591a297e0f2268a80f724deb
docs/FINAL/fusion_inbox_R6/RUNBOOK/README_RUNBOOK_PLACEHOLDER.md,README_RUNBOOK_PLACEHOLDER.md,file,80,4,013b1c63e3c99aa1af988ab65c223c75b9b387aff9b5df0c11619975e2f4c31f
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.1.md,RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.1.md,file,1145,38,259b2831196fa8d45ee799dc7400232a2c18d50516b9319e7994c939ac9ec78e
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.3.md,RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.3.md,file,2605,85,ba231c74ebca7118658ec3f281eb76e7196e05b9e07650fa54ba45698e3e4d7d
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.4.md,RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.4.md,file,2605,85,c0565a3c057e7f65de5a1d2d18c4a84cb38b393dcc152e2694e36f36ab6cf442
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.5.md,RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.5.md,file,818,17,34bfd2ee045ad70faa978ac6ca4aa8715e6a40f899293cbac0d3cf900d6a4822
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1_PROMPT_QUALITY_CORE_FUSION_0.5.0.md,RUNBOOK_MVP_QAIC_P1_PROMPT_QUALITY_CORE_FUSION_0.5.0.md,file,3323,191,51f75adf8595914f00a6e7c6ef515ce09cd38be6656106d2b9accbf054ffe896
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1G_PROMPT_LIBRARY_CONTRACT_0.6.0.md,RUNBOOK_MVP_QAIC_P1G_PROMPT_LIBRARY_CONTRACT_0.6.0.md,file,2167,102,52b08e56f04c2dc485696ec004816099329d3744b8ada85dbd53f089afa00aaa
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1I_SHEET_INVENTORY_CROSS_AUDIT_0.7.0.md,RUNBOOK_MVP_QAIC_P1I_SHEET_INVENTORY_CROSS_AUDIT_0.7.0.md,file,1280,47,15ace67c454661cb9a6f0a4adcda20747587124416a7b1529e0824236446373d
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,RUNBOOK_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,file,856,36,e6c9684e08a86a79333f827ec0d7ccda3aab957265e66a3afe51126bd293c012
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.0.md,RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.0.md,file,1127,47,33258a5d70623322437acf2e6bdced5adfd2f5e14eef20a1fd38720e26d30571
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.1.md,RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.1.md,file,517,11,1f28da7248d8a3718fc88d760533e2e53c1554b9447114b2ad7c01832a92d71f
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_0.9.0.md,RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_0.9.0.md,file,3182,143,6bb7f2743afe840d2343967e1f789ece2026e4bcbc24dff0a64e2ffba70056b9
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_FUSED_0.9.1.md,RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_FUSED_0.9.1.md,file,1729,87,1df9c11e75bc4a72df7f681e348251e03c486d0dc51dd7d251f6c3dd8467ae1c
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2H_PROMPT_TEMPLATE_TO_COPY_0.9.2.md,RUNBOOK_MVP_QAIC_P2H_PROMPT_TEMPLATE_TO_COPY_0.9.2.md,file,1396,79,7adf708a27d68cbee6789311f2a4e41d0fb420684ef845fe32893b807aad46be
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2R_1.0.8.md,RUNBOOK_MVP_QAIC_P2R_1.0.8.md,file,1465,63,dd84de09ffd8bbcf28294f8a5606273cbac3c0757f4407158987c870d839172b
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2T_FINAL_CLEAN_UI_BEFORE_REPROCESS_1.1.0_SAFE.md,RUNBOOK_MVP_QAIC_P2T_FINAL_CLEAN_UI_BEFORE_REPROCESS_1.1.0_SAFE.md,file,1556,44,d02e04cbc95278e3bcbc79f6a2c15f9e26fd9a073b9c024cc9c012aa3df018de
docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_P2D_PROMPT_LIBRARY_BASELINE_SAFE_0.7.3.md,RUNBOOK_P2D_PROMPT_LIBRARY_BASELINE_SAFE_0.7.3.md,file,1043,44,3fde73e4ab2e33480f9413d9c8eb5e57c26e8b93626bbb42f6cfd8db2260f439
docs/FINAL/fusion_inbox_R6/RUNBOOK/📝 DECISION_JOURNAL_APPEND_RUNBOOK_MVP_QAIC_0.4.2.md,📝 DECISION_JOURNAL_APPEND_RUNBOOK_MVP_QAIC_0.4.2.md,file,2581,110,b91552779295600c3adf1123a7fb32b38fcf13171eb71326c396b21feeeb79e3
docs/FINAL/fusion_inbox_R6/RUNBOOK/📝 P1C_DECISION_JOURNAL_APPEND_SCRIPT_RUNBOOK_0.4.3.md,📝 P1C_DECISION_JOURNAL_APPEND_SCRIPT_RUNBOOK_0.4.3.md,file,1787,100,4e006b7815a19d2deaabe0cd55385d06b2c4546ad17f292b208a7fe1ca3ef9bc
docs/FINAL/fusion_inbox_R6/RUNBOOK/🛠️ RUNBOOK_CORRECTION_U2_VALIDATION_STATUS_P1C_0.4.4.md,🛠️ RUNBOOK_CORRECTION_U2_VALIDATION_STATUS_P1C_0.4.4.md,file,677,40,8e3bd61ea629169588d2e1a990c0e33ba1510826345d965b5a074e55b9fd0657
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧪 FIRST_REAL_GPT_RESPONSE_AUDIT_TEST_RUNBOOK_MVP_QAIC_0.4.1.md,🧪 FIRST_REAL_GPT_RESPONSE_AUDIT_TEST_RUNBOOK_MVP_QAIC_0.4.1.md,file,2597,116,ec14ce39b84eaa0f3e2a32f4fec136ef0d2218640fdd9afa8f88e532307adc3c
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 DAILY_USAGE_RUNBOOK_MVP_QAIC_0.4.0.md,🧭 DAILY_USAGE_RUNBOOK_MVP_QAIC_0.4.0.md,file,1257,56,eaaa0425cc1da05d3cf1c47941f88554f1fb58b97b9668afc98555cc910fd4cb
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 P1D2_JOURNAL_CORE_CONSOLIDATION_RUNBOOK_0.4.6.md,🧭 P1D2_JOURNAL_CORE_CONSOLIDATION_RUNBOOK_0.4.6.md,file,1417,82,5bb30217eb652e5ff5c77cef7ef30b10e4db01de942d27067aa783d8cba7b4e6
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 RUNBOOK_MVP_QAIC_0.3.0.md,🧭 RUNBOOK_MVP_QAIC_0.3.0.md,file,4332,227,0f164b38a944623ab6039790a798385f75bfec57ab1fdbd5d741d789971fc434
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 RUNBOOK_MVP_QAIC_0.3.1_FULL_FUSION.md,🧭 RUNBOOK_MVP_QAIC_0.3.1_FULL_FUSION.md,file,4248,218,5da93ffbaef17f1e26c639f380add28e299f6cb2fa01c1c7c366755582b8926a
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 RUNBOOK_MVP_QAIC_APPSHEET_MANUAL_BUILD_0.6.2.md,🧭 RUNBOOK_MVP_QAIC_APPSHEET_MANUAL_BUILD_0.6.2.md,file,2295,62,f922193d43c72db097d78b3ce3880aa62353350d66cdad820f5f1cc6d886d28b
docs/FINAL/fusion_inbox_R6/RUNBOOK/🧹 P1D_JOURNAL_CLEANUP_DUPLICATE_GUARD_RUNBOOK_0.4.5.md,🧹 P1D_JOURNAL_CLEANUP_DUPLICATE_GUARD_RUNBOOK_0.4.5.md,file,1782,96,929f98c4cb058735beed804c698b4e2fb2437f28963e5e8363e5b1e9a46b75c4
docs/FINAL/fusion_inbox_R6/SYNTHESE,SYNTHESE,dir,,,
