function_name,script_file_name,module_family,function_visibility,line_number,functional_role,migration_priority,python_target_package,safe_migration_mode
MVPQAIC_GetRiskPlaybook,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,35,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_GenerateChecklist,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,36,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_ExplainDecision,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,46,DECISION_JOURNAL,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_GetByIdOrSearch_,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,52,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_FilterTable_,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,62,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_ReadTable_,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,67,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_ProjectRows_,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,80,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_BestSummary_,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,86,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_Normalize_,mvpqaic_01_knowledge_engine.js,KNOWLEDGE_SEARCH,PUBLIC,87,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.knowledge,READONLY_PORT_FIRST
MVPQAIC_Format_All,mvpqaic_02_formatting.js,FORMATTING,PUBLIC,6,OTHER,P2,mvp_qaic_py.formatting,READONLY_PORT_FIRST
MVPQAIC_FormatSheet_,mvpqaic_02_formatting.js,FORMATTING,PUBLIC,19,OTHER,P2,mvp_qaic_py.formatting,READONLY_PORT_FIRST
MVPQAIC_ApplyValidations_,mvpqaic_02_formatting.js,FORMATTING,PUBLIC,31,OTHER,P2,mvp_qaic_py.formatting,READONLY_PORT_FIRST
MVPQAIC_ApplyConditionalFormatting_,mvpqaic_02_formatting.js,FORMATTING,PUBLIC,48,OTHER,P2,mvp_qaic_py.formatting,READONLY_PORT_FIRST
addTextRule,mvpqaic_02_formatting.js,FORMATTING,INTERNAL,52,OTHER,P2,mvp_qaic_py.formatting,READONLY_PORT_FIRST
MVPQAIC_Import_CSV_Seeds,mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,PUBLIC,16,INGESTION_INTAKE,P1,mvp_qaic_py.ingestion,READONLY_PORT_FIRST
MVPQAIC_ImportSingleCsv_,mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,PUBLIC,38,INGESTION_INTAKE,P1,mvp_qaic_py.ingestion,READONLY_PORT_FIRST
MVPQAIC_Help_CSV_Folder_Id,mvpqaic_03_import_csv_seeds.js,IMPORT_SEEDS,PUBLIC,55,INGESTION_INTAKE,P1,mvp_qaic_py.ingestion,READONLY_PORT_FIRST
MVPQAIC_ExtendSpecs_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,41,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Setup_P0B2,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,82,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Import_P0B2_CSVs,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,130,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RunImportP0B2,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,171,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Install_P0B2,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,181,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_UpsertSingleCsv_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,200,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Format_All_P0B2,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,286,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_P0B2_Status,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,304,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetPrompt,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,339,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetOutputTemplate,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,352,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetDataRequirements,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,364,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ResolveP0B2CsvFolderId_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,376,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_SetConfigSafe_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,392,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetConfigSafe_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,419,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetByIdOrSearch_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,438,KNOWLEDGE_SEARCH,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_FilterTable_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,463,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ReadTable_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,478,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ProjectRows_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,510,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Normalize_P0B2_,mvpqaic_04_p0b2_expansion.js,QAIC_BRIDGE,PUBLIC,529,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ExtendSpecs_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,35,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Setup_P0B3,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,128,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Import_P0B3_CSVs,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,165,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RunImportP0B3,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,202,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Install_P0B3,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,206,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_UpsertSingleCsv_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,219,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Format_All_P0B3,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,302,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_P0B3_Status,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,317,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetDecisionMatrix,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,350,DECISION_JOURNAL,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetGPTBridge,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,360,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetQAICOutputContract,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,370,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ResolveP0B3CsvFolder_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,379,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_FolderHasExpectedFiles_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,406,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_SetConfigSafe_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,420,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetConfigSafe_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,444,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_FilterTable_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,460,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ReadTable_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,475,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ProjectRows_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,507,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Normalize_P0B3_,mvpqaic_05_p0b3_institutional_readiness.js,QAIC_BRIDGE,PUBLIC,526,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ExtendSpecs_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,44,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Setup_P0B4,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,121,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Import_P0B4_CSVs,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,153,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RunImportP0B4,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,190,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RunImportP0B4_DefaultFolder,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,194,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Install_P0B4,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,198,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildPortfolioPrompt,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,211,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildMarketPrompt,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,215,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildBuyPrompt,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,219,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildVolatilePrompt,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,223,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildFullReviewPrompt,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,227,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildGPTPayload,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,237,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_P0B4_Status,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,377,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_UpsertSingleCsv_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,409,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildPortfolioSnapshotSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,492,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildRevolutXStatusSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,541,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildQAICBridgeStatusSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,560,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildDecisionMatrixSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,583,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildSignalRulesSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,605,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildScoringModelSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,629,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildDataRequirementsSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,675,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildQAICOutputContractSection_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,686,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Format_All_P0B4,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,708,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ResolveP0B4CsvFolder_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,719,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_FolderHasExpectedFiles_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,750,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_AppendObject_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,764,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_FindRowByField_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,780,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ReadTable_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,793,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_SetConfigSafe_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,831,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetConfigSafe_P0B4_,mvpqaic_06_p0b4_gpt_revolutx_bridge.js,QAIC_BRIDGE,PUBLIC,855,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ExtendSpecs_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,38,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Setup_P0B5,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,106,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Import_P0B5_CSVs,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,138,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RunImportP0B5,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,175,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RunImportP0B5_DefaultFolder,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,179,INGESTION_INTAKE,P1,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Install_P0B5,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,183,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_P0B5_Status,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,197,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildTradePlanMethodPayload,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,233,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildFullTradePlanPrompt,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,323,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildBuyTradePlanPrompt,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,327,PROMPT_OR_AI,P0,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildTradePlanMethodSection_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,331,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildTrailingPlaybookSection_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,403,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildPositionFollowupSection_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,430,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_BuildTradePlanRuntimeRequirementsSection_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,453,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_UpsertSingleCsv_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,480,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Format_All_P0B5,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,563,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ResolveP0B5CsvFolder_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,574,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_FolderHasExpectedFiles_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,605,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_ReadTable_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,619,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_SetConfigSafe_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,650,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_GetConfigSafe_P0B5_,mvpqaic_07_p0b5_trade_plan_methods_trailing.js,QAIC_BRIDGE,PUBLIC,674,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Install_FullSignalMapping_50_50,mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,PUBLIC,2235,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_Status_FullSignalMapping_50_50,mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,PUBLIC,2261,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_UpsertObjectsToSheet_50_50_,mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,PUBLIC,2280,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_RewriteObjectsToSheet_50_50_,mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,PUBLIC,2312,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_EnsureHeaders_50_50_,mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,PUBLIC,2325,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_SetConfigSafe_50_50_,mvpqaic_08_full_signal_mapping_50_50.js,QAIC_BRIDGE,PUBLIC,2332,OTHER,P2,mvp_qaic_py.bridge,READONLY_PORT_FIRST
MVPQAIC_JournalStatus,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,94,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalAppendFirstAuditEntry,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,128,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalCleanupDryRun,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,173,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalMarkPartialRowsDeprecated,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,177,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalRunCleanup_,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,181,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalAuditSheet_,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,223,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalEnsureHeaders_,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,313,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalReadSheet_,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,350,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
MVPQAIC_JournalHeaderMap_,mvpqaic_09_p1_journal_core.js,JOURNAL,PUBLIC,366,DECISION_JOURNAL,P0,mvp_qaic_py.journal,READONLY_PORT_FIRST
