target_doc,source_path,size_bytes,sha256
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/FINAL_FUSED/MVP_QAIC_PY/🚀 MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED_v0.2.2.md,97084,215bb97e3c5d8d94b8184fb656932bc1b946561ee659b19c733e717e24b0ea01
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.1.md,1108,e5e82b2945e37de53d1580084ce91d97956c3e54584d7eb549e10fbdd9f56611
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.3.md,2521,dfdbf0a7d07a528b2427c57513f049d43f239a2f598b8d87cf7775c17df78ff9
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.4.md,2521,7653009aef136184da7cc60be4213f106fb388cced6373b03a58cebefae2f8e0
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_CLASP_GIT_EXPORT_0.1.5.md,802,b0e1cb646c0357669c8b89f5487491a07388a3791b9f30fde35b069ddcedacee
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1_PROMPT_QUALITY_CORE_FUSION_0.5.0.md,3133,37774df9cff0af9d0605ef1e95bd207a1b6ea809a0e277864a18beb483c84442
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1G_PROMPT_LIBRARY_CONTRACT_0.6.0.md,2066,46a126ba79aaa33189a737fdcac9396047231fe129406bfedab1fdaabc5bbdcb
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1I_SHEET_INVENTORY_CROSS_AUDIT_0.7.0.md,1234,8352f17fc59f72727ad69d0b2df93686ab31f1be336a508c51d62232dcf4b0de
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,821,51d8eca0da3c714dd9af78766d1dc1884e655e064ee38eda3f63cfd4a73c9282
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.0.md,1081,6e16be05546bb1bcac9eed8c687d7792d1ecc119436f9bc7b7c3c94796cce403
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.1.md,507,bd703b3e0e7e7b68a915c98e6bcae688b7715f6ccaef3f2fcb98c89ce52cb02c
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_0.9.0.md,3040,c3d1129e82c04fd298856f1fd09a5282892da02f611e0a3e86b51018e42aa22a
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_FUSED_0.9.1.md,1643,09e7c343b901dfa225bb738b9eab4fcce12383fc53e428ba9945cf0f53696ed1
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2H_PROMPT_TEMPLATE_TO_COPY_0.9.2.md,1318,5d87432624757e94190f77577804170dab8c93bb3affcbcc28cdf4c83c10ebd8
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2R_1.0.8.md,1403,40bc0756fd76bd97861cd42d22bfbe8cd7b473a3ff34c9ec5a963bc92cf8e0d6
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2T_FINAL_CLEAN_UI_BEFORE_REPROCESS_1.1.0_SAFE.md,1513,6f0901dbb5ddb5ee9917caf5a8c283234bc40a5129561e9bb38cde500c6a92a5
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/📝 DECISION_JOURNAL_APPEND_RUNBOOK_MVP_QAIC_0.4.2.md,2472,5052e8d4cc146a2b5a57181be8978accac1f2a6486daa146a3656516173c01cd
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧪 FIRST_REAL_GPT_RESPONSE_AUDIT_TEST_RUNBOOK_MVP_QAIC_0.4.1.md,2482,fe1b2cde73ccabdd092f44f6a1d8ec1fe4e14bae4f5c469d67dcef31f0e8e720
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 DAILY_USAGE_RUNBOOK_MVP_QAIC_0.4.0.md,1202,feca52895f955097679f6518a892361fecae08dc653497f0efcaed55d28112ed
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 RUNBOOK_MVP_QAIC_0.3.0.md,4106,b07e93847c0aa757c1c67948588d3ed01ae065d4744ab3817720a71397e636f6
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 RUNBOOK_MVP_QAIC_0.3.1_FULL_FUSION.md,4031,eba9f279559d630a870c980ff1be67f661f8e3899d7b1ef3b5834a95910ee0ba
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 RUNBOOK_MVP_QAIC_APPSHEET_MANUAL_BUILD_0.6.2.md,2234,144c6477df530f5bbaa64ce1eb8d614858abb770c54dcc27fc554f2c6a6089ac
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧠 DECISION_JOURNAL_USAGE_AND_PROMPT_IMPROVEMENT_LOOP_0.4.6.md,1183,c43d2c50957cece35599f738707762a200729e5d1cf85408a9753c05ae2b5b52
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_APPSHEET_QAIC_PYTHON_0.6.2.md,5112,13ccb01776ce5724ee020e4ee3f14d7c1be9c09dc7dddde1d00a319105d49706
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/NOTICE_UTILISATION/NOTICE_UTILISATION_MVP_QAIC_P2F_GPT_RESPONSE_INTAKE_0.8.0.md,2917,2b6a12f738adf52cfe1a01f58fd6df0fd98506264fe1b71d560b5d3d035f3dad
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/PROMPTS/📝 DECISION_JOURNAL_ENTRY_PROMPT_MVP_QAIC_0.4.0.md,941,f29609b2013ff9270e388f4e5058b0c65782bf067b873e0f4530143b9817de9f
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/CHAT_DEV_RULES_073/RUNBOOK_CHAT_DEV_DELIVERY_RULES_0.7.3.md,1182,b5ac3be7dabb559039dc5eb8d3ad137b22445f6c1c08afd7b690ea9e084d1819
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/COMPARATIF_MVP_QAIC_CLASP_VS_QAIC_V25_0.1.1.md,1500,fb2f77018f7908fd92f20b58297aa0c9705d0aa85d322849c03b869d94335a91
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/README_MVP_QAIC_P2B_GEM_ADAPTIVE_PROMPT_LOOP_0.7.0.md,1473,c8f9f286f42171321f80deb00b7651decf904c8c82b3241150dbfa736ddbf6dd
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/README_RUNBOOK_PLACEHOLDER.md,77,4c581fe80569a48d0a5b6d3166230c3b8f345e9b03d8f13d368868a56a64f190
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_P2D_PROMPT_LIBRARY_BASELINE_SAFE_0.7.3.md,1000,ea948a54e77c65083a6ed14ab0cd48436774afa133512e080ff22409435421e8
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/📝 P1C_DECISION_JOURNAL_APPEND_SCRIPT_RUNBOOK_0.4.3.md,1688,69e3007d3952e9eaddaafcf80174ac9f9f94c836a01f389bb8981241df381a95
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🛠️ RUNBOOK_CORRECTION_U2_VALIDATION_STATUS_P1C_0.4.4.md,638,1f38debf5b6e5fef1e36605a49c0d152e2c5edf5a9ca22ca63d0e0fc0a8ad216
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧭 P1D2_JOURNAL_CORE_CONSOLIDATION_RUNBOOK_0.4.6.md,1336,be45d674e2e8355cd943a37c78b0ce17d65aa747568787c63d5aca8572d40a9e
MVP QAIC Notice Runbook Final Fused v0.2.7,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧹 P1D_JOURNAL_CLEANUP_DUPLICATE_GUARD_RUNBOOK_0.4.5.md,1687,9faed6de72efc18535f271846a93a785dbe75df335edd2624a4622a26e78d955
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧠 DECISION_JOURNAL_USAGE_AND_PROMPT_IMPROVEMENT_LOOP_0.4.6.md,1183,c43d2c50957cece35599f738707762a200729e5d1cf85408a9753c05ae2b5b52
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/NOTICE_UTILISATION/NOTICE_UTILISATION_MVP_QAIC_P2F_GPT_RESPONSE_INTAKE_0.8.0.md,2917,2b6a12f738adf52cfe1a01f58fd6df0fd98506264fe1b71d560b5d3d035f3dad
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/README_PROMPTS_PLACEHOLDER.md,80,34b1124f2b714c28fd5d50c597abe48b946d0ce1c2621a853e816b879ce0440e
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/✅ ANTIGRAVITY_P0A_ACCEPTANCE_CRITERIA_0.2.2.md,880,792c7084a96b1c783605726c2f738e1ca72595453fc2aedfffc1d46f42e449fe
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/📝 DECISION_JOURNAL_ENTRY_PROMPT_MVP_QAIC_0.4.0.md,941,f29609b2013ff9270e388f4e5058b0c65782bf067b873e0f4530143b9817de9f
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/🤖 ANTIGRAVITY_P0A_KNOWLEDGE_BASE_PROMPT_0.2.2.md,2695,2112e9cf8704cf5bb542fefbc0e0a8ee792ec4f485f94193aa960c044244595f
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/🧠 FIRST_REAL_GPT_RESPONSE_AUDIT_PROMPT_MVP_QAIC_0.4.1.md,1783,1d70b93630468c94289f9095a90bd0dc4d525369481be1ff1aeafc0ec8b358f8
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/🧠 GPT_RESPONSE_AUDIT_PROMPT_MVP_QAIC_0.4.0.md,1425,c28a435b69a159064083ce531585596333d7d2a7bb3607613091bda8dd54a943
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/PROMPTS/🧱 ANTIGRAVITY_P0A_WORKSPACE_TREE_0.2.2.md,748,9b483f58f3006ff06f318733cab4be8120dcd29db8d4dbf7539ca68ea478c896
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/README/README_MVP_QAIC_P2I_PROMPT_WORKFLOW_UX_DRAFT_APPROVAL_0.9.5.md,2056,469d908a132153e5a39e988da2b319ee93b2fd20c1fbbc3a12d19c2060257555
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/README_MVP_QAIC_P2B_GEM_ADAPTIVE_PROMPT_LOOP_0.7.0.md,1473,c8f9f286f42171321f80deb00b7651decf904c8c82b3241150dbfa736ddbf6dd
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1_PROMPT_QUALITY_CORE_FUSION_0.5.0.md,3133,37774df9cff0af9d0605ef1e95bd207a1b6ea809a0e277864a18beb483c84442
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P1G_PROMPT_LIBRARY_CONTRACT_0.6.0.md,2066,46a126ba79aaa33189a737fdcac9396047231fe129406bfedab1fdaabc5bbdcb
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_0.9.0.md,3040,c3d1129e82c04fd298856f1fd09a5282892da02f611e0a3e86b51018e42aa22a
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2G_PROMPT_RUNTIME_CATALOG_SYNC_FUSED_0.9.1.md,1643,09e7c343b901dfa225bb738b9eab4fcce12383fc53e428ba9945cf0f53696ed1
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2H_PROMPT_TEMPLATE_TO_COPY_0.9.2.md,1318,5d87432624757e94190f77577804170dab8c93bb3affcbcc28cdf4c83c10ebd8
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_P2D_PROMPT_LIBRARY_BASELINE_SAFE_0.7.3.md,1000,ea948a54e77c65083a6ed14ab0cd48436774afa133512e080ff22409435421e8
MVP QAIC Prompt GEM Workflow Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/🧪 FIRST_REAL_GPT_RESPONSE_AUDIT_TEST_RUNBOOK_MVP_QAIC_0.4.1.md,2482,fe1b2cde73ccabdd092f44f6a1d8ec1fe4e14bae4f5c469d67dcef31f0e8e720
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/drive_reconcile/R6_SELECTED_FINAL_DOCS/01_DOCS_ROOT/lexique_crypto_methodes_signaux_trading_pro.md,25775,48811524bf129bff4bd941f8cd4bf48eac93887fdc39afac6225c26396460c65
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/LEXIQUE/lexique_crypto_methodes_signaux_trading_pro_0.7.2_REAL_FULL_SOURCE_FUSION.md,29188,c9a2f8b78ad1b2915eeb69dec5f264e83418394f7c1953023b5f0202f90d4c47
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/SYNTHESE/synthese_lexique_mvp_crypto_project_context_0.7.2_REAL_FULL_SOURCE_FUSION.md,18113,98c6782db61fb74b84c70359c2a39ee0f729a796adc7d85f020f4bf28e73ce05
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/00_ADMIN/CHANGELOG_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,305,ed706110e1011307523d5730ce0da32a2d82aed2c3ec9b4fec2becbeca3adb9f
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,8554,633070d246dbabb9a6f33cf21e1730957bfc1da600dbc32dc219f51f258d04b9
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_APPSHEET_QAIC_PYTHON_0.6.2.md,5112,13ccb01776ce5724ee020e4ee3f14d7c1be9c09dc7dddde1d00a319105d49706
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/CDC/📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.6.2_REAL_FUSION_REPAIR.md,27670,00f3d38c78243036b0c16a2fa37fcc5571cbc389282052ed2a27ffd55db83369
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/CDC/📘 CDC_MVP_QAIC_WEB_APP_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,31100,c5d63c4b023d7671edeb0a78ba0e0792ef30f88098b2c3f11b6b2971ed593db2
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/README/🧠 SYNTHESE_MVP_QAIC_PROJECT_CONTEXT_0.6.2_REAL_FUSION_REPAIR.md,1057,818893c0b8f3e210a73f12ba6d6b9e526d20726d200e5103460e44d7461d878b
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_FINAL_LEXIQUE_MASTER_SEARCH_0.9.0.md,821,51d8eca0da3c714dd9af78766d1dc1884e655e064ee38eda3f63cfd4a73c9282
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.0.md,1081,6e16be05546bb1bcac9eed8c687d7792d1ecc119436f9bc7b7c3c94796cce403
MVP QAIC Lexique Reference Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/RUNBOOK/RUNBOOK_MVP_QAIC_P2A_LEXIQUE_METHODS_SIGNALS_CORE_0.8.1.md,507,bd703b3e0e7e7b68a915c98e6bcae688b7715f6ccaef3f2fcb98c89ce52cb02c
MVP QAIC Web Architecture UI Process Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧠 DECISION_JOURNAL_USAGE_AND_PROMPT_IMPROVEMENT_LOOP_0.4.6.md,1183,c43d2c50957cece35599f738707762a200729e5d1cf85408a9753c05ae2b5b52
MVP QAIC Web Architecture UI Process Final Fused v0.2.6,docs/FINAL/fusion_inbox_R6/ARCHITECTURE/🧱 ARCHITECTURE_MVP_QAIC_LEXIQUE_FIRST_0.7.2_REAL_FULL_SOURCE_FUSION.md,8554,633070d246dbabb9a6f33cf21e1730957bfc1da600dbc32dc219f51f258d04b9
