"item_id","root_id","relative_path","theme","doc_class","canonical_target","proposed_action","output_allowed_here","integrated_in_final","archive_allowed"
"ITEM-000011","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\04_RUNBOOKS\_RUNBOOK_MVP_QAIC_PYTHON_REFERENCE_0.1.0.md","NOTICE_RUNBOOK","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000012","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\04_RUNBOOKS\🚀_RUNBOOK_MVP_QAIC_PYTHON_REFERENCE_0.1.0.md","NOTICE_RUNBOOK","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000017","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\CDC\CDC_MVP_QAIC_OPERATIONAL_ROADMAP.md","CDC_CONTRACT","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000018","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\CDC\📘 CDC_MVP_QAIC_OPERATIONAL_ROADMAP.md","CDC_CONTRACT","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000019","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\ROADMAP\ROADMAP_VISUAL_V0_1_TO_V1_0.md","PLANNING_ROADMAP","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000020","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\ROADMAP\🗺️ ROADMAP_VISUAL_V0_1_TO_V1_0.md","PLANNING_ROADMAP","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ROADMAP_PLANNING_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000021","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\ARCHITECTURE\MVP_QAIC_FUSION_ARCHITECTURE_CORRECTIONS.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000022","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\ARCHITECTURE\🧩 MVP_QAIC_FUSION_ARCHITECTURE_CORRECTIONS.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000023","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\ARCHITECTURE\🧬 MVP_QAIC_FUSION_INITIALE_TO_P122_TRACE.md","ARCHITECTURE_MIGRATION","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000024","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\DRIVE_RANGEMENT\MVP_QAIC_DRIVE_RANGEMENT_FINAL.md","PROMPT_GEM_WORKFLOW","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000025","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\DRIVE_RANGEMENT\🗂️ MVP_QAIC_DRIVE_RANGEMENT_FINAL.md","PROMPT_GEM_WORKFLOW","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_PROMPT_GEM_WORKFLOW_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000026","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\HANDOFF\MVP_QAIC_OPERATOR_HANDOFF_FINAL.md","NOTICE_RUNBOOK","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000027","ROOT_01_MVP_QAIC_PY_DRIVE","01_DOCS\HANDOFF\🤝 MVP_QAIC_OPERATOR_HANDOFF_FINAL.md","NOTICE_RUNBOOK","DOC_SOURCE_TO_COMPARE","docs\FINAL\MVP_QAIC_NOTICE_RUNBOOK_FINAL_FUSED.md","REVIEW_COMPARE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000028","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\P077_BOUNDED_ROOTS_STATUS.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000029","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\P077_SOURCE_INVENTORY.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000030","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\P077_SOURCE_CANDIDATES_FOR_PYTHON_MIGRATION.csv","ARCHITECTURE_MIGRATION","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000031","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\P077_CATEGORY_SUMMARY.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000032","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\P077_PYTHON_TARGET_BUCKET_SUMMARY.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000033","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\MANIFEST_P077.json","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000034","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_173607\🧾_P077_P1_SOURCE_INVENTORY_READONLY_REPORT.md","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000035","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\P077_BOUNDED_ROOTS_STATUS.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000036","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\P077_SOURCE_INVENTORY.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000037","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\P077_SOURCE_CANDIDATES_FOR_PYTHON_MIGRATION.csv","ARCHITECTURE_MIGRATION","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_ARCHITECTURE_MIGRATION_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000038","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\P077_CATEGORY_SUMMARY.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000039","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\P077_PYTHON_TARGET_BUCKET_SUMMARY.csv","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000040","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\MANIFEST_P077.json","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000041","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P077_P1_SOURCE_INVENTORY_READONLY_20260620_174238\🧾_P077_P1_SOURCE_INVENTORY_READONLY_REPORT.md","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000042","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_CONTRACT_PLANNING_MATRIX.csv","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000043","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_DOMAIN_SUMMARY.csv","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000044","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_PRIORITY_SUMMARY.csv","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000045","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_P2B_NEXT_CONTRACT_SELECTION_QUEUE.csv","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000046","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\P078C_P2_DATA_CONTRACTS_PLANNING_REPORT.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000047","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\MANIFEST_P078C.json","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000048","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_sheets_exports.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000049","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_reference_docs.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000050","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_runtime_metadata.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000051","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_decision_journal.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000052","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_apps_script_other.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000053","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_lexique_kb.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000054","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_webapp_ui.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000055","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P078C_P2_DATA_CONTRACTS_ROBUST_REBUILD_READONLY_20260620_190958\CONTRACT_DRAFTS_READONLY\P078C_DRAFT_CONTRACT_gpt_response_intake.md","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000056","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P59A4_PY_LIVE_SHEETS_API_DECISION_AND_CONTRACT_20260620\P59A4_PY_LIVE_SHEETS_API_DECISION_AND_CONTRACT.zip","CDC_CONTRACT","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_CDC_CONTRACT_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
"ITEM-000057","ROOT_01_MVP_QAIC_PY_DRIVE","05_EXPORTS\P59B_PY_AI_IDENTIFY_AND_FILL_BENCHMARK_CANDIDATES_WITH_WEB_CITATIONS_20260620\P59B_PY_AI_IDENTIFY_AND_FILL_BENCHMARK_CANDIDATES_WITH_WEB_CITATIONS.zip","SHEETS_COCKPITS","EVIDENCE_EXPORT_RESIDUAL","docs\FINAL\MVP_QAIC_SHEETS_COCKPITS_FINAL_FUSED.md","CHECK_INTEGRATION_THEN_ARCHIVE","YES_CANONICAL_SCOPE","UNKNOWN_REQUIRES_P203B_DIFF","NO_UNTIL_INTEGRATED_TRUE"
